filename,x,y
3466246085498175007.jpg,-1.0007595,-0.14426695
3468637329519034259.jpg,-0.97381556,-0.46074477
3470071694951429780.jpg,-4.2565346,10.668596
3471521453747024905.jpg,-8.368215,-3.502778
3473718225037107747.jpg,-4.7764254,3.4837983
3475168032412132706.jpg,-2.7635489,1.6822076
3476421558060546233.jpg,-7.0210176,1.4184142
3476594817686152676.jpg,-4.6175475,11.471087
3478791802585725279.jpg,-3.8922083,11.453467
3478849391051600201.jpg,-6.1137347,3.0946589
3480244169122276716.jpg,-5.836446,1.709483
3481075772577900517.jpg,-5.203255,4.5026517
3481675950175098314.jpg,-5.8646445,3.2124588
3483860046775247312.jpg,-1.8620381,0.5244202
3483865401986940190.jpg,-5.2111626,1.8193641
3485309817280875481.jpg,-5.5983453,4.922929
3486527370212743953.jpg,-3.7223232,9.623741
3488242386062299038.jpg,-10.5082035,1.7212076
3488759852941448447.jpg,-6.1042714,4.368537
3488986594381194501.jpg,-5.6715417,1.9452817
3490892763471551601.jpg,-6.8097353,5.133248
3491120434210289626.jpg,-5.289679,2.4722574
3493998521600105565.jpg,-9.0972185,3.3537788
3494014473633788064.jpg,-11.2575865,-2.9245248
3495484259158866044.jpg,-4.526629,3.5479598
3497649407648033395.jpg,-1.1859208,0.4922614
3498836250008726171.jpg,-11.0884285,1.0531608
3500457095414016770.jpg,-2.3027833,1.8252283
3501884492412866399.jpg,-5.5123377,1.824793
3502535727876905707.jpg,-5.7408705,1.9993337
3502714739563443038.jpg,-8.700691,3.2088606
3503452950363489325.jpg,-6.277982,3.987253
3504181695508603588.jpg,-3.2366958,3.3546467
3505459682992293778.jpg,-3.193036,-0.8003129
3505616998542651173.jpg,-8.316645,-5.292759
3507034309170438327.jpg,-1.5471675,-2.091717
3509262723456393121.jpg,-1.6448517,-1.9324906
3512056118377974081.jpg,-2.7531083,-1.2072784
3514111628926201417.jpg,-4.6312146,2.6691527
3515687262987182911.jpg,-1.2690321,-1.8119707
3516980940615665060.jpg,-3.8299124,0.2025677
3517160894762544151.jpg,-5.9586687,-3.8820426
3517801548122457084.jpg,-4.225641,10.9213
3518396474318015174.jpg,-7.1314297,-4.3731318
3519403798112311867.jpg,-5.139241,1.9021145
3519478447396590624.jpg,-3.2109492,-1.9391254
3520609771407553400.jpg,-3.5707731,3.02753
3522295287512421401.jpg,-7.2625017,-2.091714
3525170081140367376.jpg,-8.066324,-1.8277057
3525821999378210445.jpg,-7.7193003,-1.0782417
3526007152583134927.jpg,-1.1614639,-1.3810751
3526687427982186081.jpg,-7.877825,-0.12449703
3527252874284643351.jpg,-8.312325,-5.4058876
3528105856349791012.jpg,-6.066776,-3.3154068
3529403892204149839.jpg,-8.42013,-1.0255574
3530708806582805508.jpg,-1.9843161,-2.4090226
3531717829138478807.jpg,-7.0344872,-5.228457
3532390950908635281.jpg,-10.716412,-4.0258455
3532561111172187452.jpg,-1.018027,-1.4520112
3533898959560167212.jpg,-8.1425,-3.6265588
3533955633096855334.jpg,-11.135578,-4.7544484
3534592204392918605.jpg,-4.671546,-0.59791154
3535471010494517239.jpg,-4.1846843,-1.1095363
3535857728938759420.jpg,-6.6077046,2.2853405
3536798248905133219.jpg,-8.397336,-0.99687845
3537339111058176209.jpg,-7.636719,-0.36968106
3538003258930256269.jpg,-7.7252216,-3.7295165
3538304974200450992.jpg,-1.0431011,-1.71452
3539519307291023960.jpg,-8.800339,-4.899043
3540373443955879142.jpg,-2.4064007,-1.164806
3540441214261611975.jpg,-3.2945092,-2.3045864
3540910313047405342.jpg,-5.112057,-0.6683422
3541153373685742676.jpg,-7.563558,-1.3336064
3542328070511068102.jpg,-9.308049,-2.9803884
3542595169183729692.jpg,-2.4450197,-1.6275294
3543869705518780616.jpg,-9.051634,-2.0331008
3544522164293424837.jpg,-3.3929896,10.323009
3546913830472219061.jpg,-10.145643,-4.501
3547406695535168399.jpg,-3.435545,-2.9274642
3547748791399759704.jpg,-6.1519084,2.681414
3549144158796325504.jpg,-3.5809577,10.453001
3549739572242587624.jpg,-4.688805,10.374694
3549777164028560192.jpg,-4.142185,-0.24483015
3549818704750801463.jpg,-9.433734,-0.7777302
3552003841722880842.jpg,-9.485193,-1.5138788
3553232960724874069.jpg,-3.2076075,-1.4441593
3555387811290231273.jpg,-4.3106933,0.39052558
3555715248732482101.jpg,-2.4588099,-2.5708785
3556090960703468435.jpg,-3.8916032,-3.0065486
3556307740092969993.jpg,-7.0988045,-2.8240325
3556333799093910723.jpg,-9.609141,-1.0464165
3556347996905254057.jpg,-3.4472065,-1.3371489
3556835606941633341.jpg,-4.327495,-1.2053406
3557074696144262887.jpg,-6.812977,-3.6709902
3557758303741657226.jpg,-7.5626583,-3.5852156
3558269351187812381.jpg,-8.508276,-4.9288955
3559198507400567523.jpg,-10.917983,-4.8699803
3559232459367318572.jpg,-3.502417,10.910251
3559897422428998084.jpg,-6.768818,-3.7099173
3559975263367773336.jpg,-5.0148187,0.32401088
3560528904969506462.jpg,-3.8203442,-0.7448541
3561253413573760568.jpg,-9.973736,-3.6377847
3562083218259125627.jpg,-7.0531054,-2.024436
3562169188639733733.jpg,-5.954491,-0.12647435
3564859444954659362.jpg,-9.002928,-4.745343
3566428857125950122.jpg,-9.036747,-0.6824037
3566897946768490947.jpg,-8.924201,-1.7309397
3567109523501332299.jpg,-8.070978,-2.8148751
3570004261103572961.jpg,-10.8220625,-4.0446944
3572007381430033010.jpg,-3.3470168,-1.5990417
3572875429568277216.jpg,-7.268798,-4.9383245
3572971595085513138.jpg,-4.2272,-2.4244719
3573088375489565934.jpg,-1.6298921,3.3246346
3573516925272330242.jpg,-10.51115,-5.0423303
3573531960131366413.jpg,-9.754791,-4.3444147
3573685073309333771.jpg,-10.673057,-4.790137
3573696772942832150.jpg,-11.137014,-4.5463862
3573759733296241487.jpg,-6.186512,-4.4934673
3573811383724233610.jpg,-9.83345,-4.0204124
3574229465732303618.jpg,-9.6086445,-4.8331165
3574251236669870470.jpg,-10.479484,-4.2206097
3574265459922519655.jpg,-10.445894,-4.055237
3574294654761514315.jpg,-10.979061,-4.026705
3574418293013221187.jpg,-9.742307,-5.2941866
3575039343396843136.jpg,-8.573511,-0.3299362
3575149458313631974.jpg,-8.596417,-0.44186357
3575700776379498457.jpg,-3.371075,-2.648583
3576694453294095196.jpg,-4.747517,-0.6463165
3577434940460356687.jpg,-7.5294228,-1.7899224
3578101205659119607.jpg,-4.822943,-3.247096
3578108945551872297.jpg,-4.9441185,0.08964363
3578663642280134340.jpg,-9.391994,-3.605295
3579258591157440647.jpg,-6.542264,1.9154191
3579292238594102222.jpg,-8.385029,-4.50055
3580931068300537469.jpg,-8.0600605,-5.082198
3582280539332656253.jpg,-4.202148,-1.9889357
3583639221509031908.jpg,-9.257051,-4.180371
3585097063936227257.jpg,-3.1449394,-1.6723013
3585176224268767818.jpg,-9.332349,-2.720529
3585370978369604726.jpg,-3.6217172,11.226485
3586067556189043614.jpg,-5.333247,-2.2083354
3586572160538646586.jpg,-3.9957616,-1.382818
3586815248766857717.jpg,-1.2292708,-0.9428171
3588151201262362892.jpg,-12.135506,1.7691212
3588262908799544723.jpg,-5.484489,1.1477255
3591602832345128172.jpg,-8.607148,-3.9900942
3591879637651969062.jpg,-6.5976763,-0.3389059
3593339461283801184.jpg,-6.395836,1.3393381
3593820272940396321.jpg,-6.9618354,-0.1947571
3593828657002428595.jpg,-8.02616,-3.7181578
3595483191927321772.jpg,-9.260808,-1.4006724
3596196137598894186.jpg,-6.16723,-2.4986703
3597007826858733862.jpg,-8.727415,-3.3460333
3597020183874135261.jpg,-6.8342824,2.808668
3598083101516351528.jpg,-7.4220886,-1.1698035
3601213697497999340.jpg,-9.648783,-0.8657083
3601432980124639661.jpg,-8.778844,-0.76237047
3602376679011576549.jpg,-9.159648,0.1474461
3602467710894899723.jpg,-8.247116,-3.5594602
3602644857223853234.jpg,-6.951501,-1.4470675
3606932153833120557.jpg,-4.308678,10.93431
3607764028919978488.jpg,-13.367054,-0.4857857
3607771988400513093.jpg,-4.609435,3.814133
3608186751236225070.jpg,-7.810901,-3.40512
3609830935458324444.jpg,-7.0319586,0.3770484
3610604064300383296.jpg,-6.5644383,-3.4600115
3613427331425044353.jpg,-0.039703343,2.4625614
3614930890212732601.jpg,-1.0690181,2.7113879
3615641335758872244.jpg,-0.46287337,3.138741
3616320422652846660.jpg,-5.1840477,4.1725817
3618745411971897840.jpg,-4.9734745,10.956002
3619997809604317142.jpg,-4.5543504,8.606695
3622020545379975402.jpg,-5.187709,3.1148062
3622244432891456443.jpg,-4.353716,0.7241665
3623071189694860685.jpg,-11.568349,-1.8284062
3624399809734106631.jpg,-4.178157,4.430313
3625921158327905455.jpg,-9.508935,0.3951429
3625989236411857928.jpg,-7.089043,4.002012
3626596017898592458.jpg,-3.6414301,11.030655
3628864344108855980.jpg,-7.108251,-0.87971056
3629353611877099680.jpg,-8.282394,4.740725
3631002545124802593.jpg,-6.2244086,4.8876424
3633227334023456794.jpg,-2.496434,1.5645455
3633228424534289965.jpg,-8.829696,3.8267446
3633847541996655677.jpg,-3.0831163,-1.0623322
3634578144822370832.jpg,-7.2311797,1.9865569
3636735504422591437.jpg,-4.654219,10.76632
3638187344373379923.jpg,-2.91604,0.8589476
3638958559060402808.jpg,-3.820057,10.373
3638987395790416005.jpg,-5.487824,-1.6410819
3639345199180877954.jpg,-11.967028,0.9383637
3641156077962644878.jpg,-12.486013,1.7032776
3641647248400721702.jpg,-5.9442945,4.407651
3643091154580356428.jpg,-5.2643785,-1.438373
3643975002714782986.jpg,-6.518628,0.6819422
3644156025964248096.jpg,-5.79105,0.5727993
3644788355820429957.jpg,-4.557094,10.289697
3645485474060240309.jpg,-4.179323,5.352096
3645559808418222701.jpg,-11.224237,-1.4960805
3646225074299068674.jpg,-11.451558,-2.335438
3646736053075995581.jpg,-4.36307,1.7055128
3647669263989661338.jpg,-6.4744124,3.4313612
3648212771279187309.jpg,-1.4496175,-0.2014964
3648854258946967171.jpg,-12.134388,1.8979849
3648881478712077744.jpg,-3.2015963,-0.47428325
3651073698958516521.jpg,-9.956985,1.8741591
3652667634286586936.jpg,-4.1095705,10.4125185
3653892002249227535.jpg,-7.3075614,1.1093651
3654077155805083350.jpg,-8.509688,3.0123534
3654278729988278449.jpg,-5.6262226,4.735477
3655716589030476404.jpg,-4.3847065,10.797357
3656406849868267168.jpg,-6.9219418,3.2701418
3657727150856895440.jpg,-12.96539,1.0225977
3657759816172067325.jpg,-13.05124,0.12757045
3659098261579396652.jpg,-11.011465,1.5868967
3659706757220162246.jpg,-0.40990227,-0.57914054
3659841518436353714.jpg,-7.78054,0.80709696
3661325514328554268.jpg,-8.834188,4.224396
3661507374989362029.jpg,-6.960724,4.6088743
3662554243839230522.jpg,-7.3075194,3.2103088
3662783928004436366.jpg,-3.511057,10.283938
3662940723704303554.jpg,-6.6894083,4.0451756
3664300846062279534.jpg,-6.6531453,2.8882823
3664774365493759547.jpg,-10.120202,3.744362
3664829834088955673.jpg,-5.083124,-1.1163733
3665793021132444906.jpg,-4.7541995,2.138449
3665823541160475529.jpg,-9.6327,4.0935755
3666298570223672203.jpg,-9.616982,2.929898
3666320461932079682.jpg,-2.0273852,0.15334266
3666331724678823723.jpg,-8.164061,4.477654
3667096948372000940.jpg,-12.119917,1.4972061
3667990608954618685.jpg,-2.3680158,3.7438455
3668403842736911143.jpg,-4.4775887,0.21000174
3668413451907465412.jpg,-8.165096,1.8449582
3668413968779994768.jpg,-6.2160664,3.715397
3668454123007730191.jpg,-11.753178,1.858809
3668688157310992760.jpg,-7.377236,5.0379333
3669149947815718437.jpg,-11.6784725,0.20471902
3669182322868417580.jpg,-12.270258,0.36287987
3669317653638724393.jpg,-6.8703184,2.3421767
3669457848325564565.jpg,-0.3841872,1.8047484
3669818125491545327.jpg,-8.951705,-5.7344055
3670230980531444450.jpg,-11.51334,-3.2231438
3670273335351118561.jpg,-3.4676611,3.4420595
3672066155120874715.jpg,-10.491567,3.2743382
3672973943376226479.jpg,-2.4239113,0.7926844
3673644612158107325.jpg,-13.255422,-0.42950407
3673711155554378692.jpg,-4.480707,2.9605553
3673733145568761602.jpg,-1.1475766,4.0528154
3673742895874391030.jpg,-8.902063,0.88446987
3674483912890299870.jpg,-8.447739,0.38968793
3674521287745771702.jpg,-3.5721922,2.4400804
3675092901814151474.jpg,-12.993745,-0.40550846
3675337243283813609.jpg,-10.417106,1.3534245
3675726936570706298.jpg,-12.669805,1.4937799
3676673159181144335.jpg,-3.098893,2.5480182
3676677034357401270.jpg,-7.7701454,3.150478
3676719487298851845.jpg,-0.31749338,2.4768984
3677312139668859920.jpg,-13.268448,0.09739013
3678151289943109692.jpg,-11.446653,-1.3359427
3678462042519395388.jpg,-2.3711793,0.0975625
3678583846904039180.jpg,-0.36447158,1.2454258
3678610602570613695.jpg,-10.054114,-1.9511113
3679262395130295309.jpg,-12.580392,0.6951072
3679368413713906339.jpg,-4.9222775,4.8541737
3679533092868448184.jpg,-7.968321,0.88696176
3680951487656475661.jpg,-12.796824,0.39491734
3680959595531304384.jpg,-6.8594165,1.6348435
3681487520605309799.jpg,-7.6725993,3.557555
3681531957543536978.jpg,-7.554773,4.88638
3681553886825896964.jpg,-0.78532845,-0.66014665
3681706523621686685.jpg,-6.9796333,3.189314
3681723924497055345.jpg,-11.417627,1.7066782
3682163516916581757.jpg,-9.852324,-1.4766692
3682189393842639881.jpg,-12.988162,-0.8403344
3682493908651189918.jpg,-2.7167645,0.8413802
3682820011651206918.jpg,-5.1921844,10.90923
3682948380388152968.jpg,-10.327097,2.4017107
3683685111111632366.jpg,-10.55228,3.062946
3684432072672658625.jpg,-3.6246877,2.5373797
3684621039556812117.jpg,-7.0850058,2.7518997
3684683016253565729.jpg,-10.892721,2.3676355
3685020346399196614.jpg,-12.886507,-0.8911248
3685022677064807078.jpg,-12.576825,-1.4270551
3685025017477245595.jpg,-4.992953,11.071297
3685189310010075809.jpg,-12.275389,-2.528895
3685360695361498077.jpg,-12.98836,-1.5770495
3685377081725911943.jpg,-3.0854597,3.3451676
3685773309143906020.jpg,0.18450175,2.5610116
3686046590171492442.jpg,-7.41032,2.4160087
3686070376170062835.jpg,-11.887485,2.185873
